OverallQual,GrLivArea,GarageArea,YearBuilt,TotalBsmtSF
9,1828,774,2007,1822
5,894,308,1962,894
5,964,432,1921,876
8,1689,857,2002,1568
7,1541,843,2001,1541
7,1221,400,2004,1221
6,1324,440,1965,1088
7,1416,484,1999,696
4,988,297,1973,462
6,1218,440,1941,735
7,1656,397,2003,746
6,1362,460,2005,1362
6,1839,442,1966,756
6,1375,451,1954,1367
5,1122,528,1948,924
5,1432,588,1978,1360
7,1456,400,2007,728
7,1217,497,1990,1188
5,1040,625,1950,0
6,1224,528,2009,612
7,1774,468,1931,952
5,1367,384,1900,861
5,1360,297,1938,803
6,848,420,2004,848
8,2262,749,2003,1482
4,1220,396,1951,836
7,1414,398,2004,1375
6,2058,396,1917,735
6,1198,0,1920,901
8,1659,499,2000,1501
6,1012,308,1920,1012
7,3082,672,1920,824
5,1812,672,1900,360
7,1929,650,2001,1057
5,954,576,1976,911
9,1838,765,2006,1838
6,1640,924,1954,1296
5,1148,672,1959,1148
5,950,280,1971,950
8,1911,471,1993,777
6,1635,440,1923,1065
7,1316,440,2007,1316
6,1442,615,1970,1442
5,1078,500,1971,1078
4,1120,544,1961,1040
8,1419,527,2002,408
7,1389,240,1946,651
5,1063,280,1954,1056
9,1792,874,2003,1792
6,1216,402,1998,1216
7,1762,576,1920,596
7,1959,434,2004,847
6,1208,546,1977,1208
5,1524,315,1958,874
4,1154,240,1922,796
5,1048,420,1950,0
5,886,273,1938,190
5,943,600,1979,943
7,1768,603,2005,866
9,2599,779,1999,1393
5,912,275,1958,912
5,882,308,1956,0
6,1337,511,1998,1405
10,2076,850,2006,2076
8,2531,752,1995,1318
5,1768,240,1937,731
8,1625,538,2006,1573
6,2144,389,1958,1444
10,2775,880,1893,1237
6,1868,477,1984,585
7,1525,541,2000,1525
8,1571,722,2007,1571
5,796,0,1910,796
5,2372,432,1892,994
7,1472,402,1991,384
4,960,364,1965,648
5,1838,372,2005,732
6,1309,484,1974,1040
9,2643,694,2006,2153
5,1131,200,1941,676
5,1960,400,1952,960
5,1144,336,1963,1144
6,1056,576,1980,1056
4,693,0,1941,693
6,1494,576,1997,1479
8,1646,482,2004,1594
5,864,352,1972,864
8,1566,750,2008,1566
6,1395,497,1972,723
4,1208,539,1925,780
5,1513,180,1920,939
6,1367,560,1931,884
5,955,386,1966,955
3,1077,210,1922,1007
5,1056,572,1955,1056
7,1553,615,2005,756
7,1614,865,2005,1614
8,2042,1390,2008,2042
5,1073,326,1921,1073
5,1285,240,1948,672
6,2117,550,1970,1205
4,605,0,1920,528
5,1150,300,1959,1150
6,1456,400,2005,728
7,999,588,1961,944
6,1500,564,2005,750
5,1336,375,1953,1165
6,1593,398,2004,839
9,2184,836,2008,1104
7,1560,573,2003,1560
5,1644,312,1942,728
4,630,286,1970,630
6,1113,504,1976,1143
7,2172,947,2006,1063
4,1346,384,1910,560
8,2610,550,2007,1184
7,1958,936,2005,1026
8,1468,898,2008,1468
5,1734,539,1977,0
5,1200,240,1946,768
7,1550,438,2006,1092
4,2230,440,1912,795
6,1639,240,1936,1064
5,864,624,1958,864
7,1621,440,1984,1208
6,987,264,1972,483
7,2519,628,1989,1210
5,1365,440,1970,765
8,2290,779,2002,1128
9,2596,840,2006,1249
4,907,352,1957,907
6,1456,440,1976,855
5,1190,540,1962,1106
4,858,684,1971,858
7,2223,516,1973,2223
4,1005,672,1955,1005
7,1895,409,1994,712
5,1040,384,1965,1040
5,1264,461,1960,1268
7,1761,578,2007,874
6,1034,888,1976,1012
7,1363,439,1954,1385
6,1689,480,1956,1436
8,2113,839,1995,2109
7,1573,544,2002,1573
9,2364,820,2009,2330
7,2034,645,1997,1057
6,1291,431,1996,1291
5,858,0,1958,858
6,1258,280,1939,560
2,438,246,1920,290
6,1400,440,1978,672
5,954,240,1938,920
6,1445,645,1964,1127
6,1072,525,2005,547
5,1664,0,1965,0
6,2134,441,1916,844
8,3194,380,1934,965
6,1824,0,1971,912
6,1756,422,1996,872
5,912,576,1965,912
6,1509,600,1988,1461
6,1608,216,1925,976
6,1316,397,2005,1316
5,1015,450,1925,768
5,1134,240,1940,756
8,1636,865,2006,1623
7,1320,400,2003,660
5,2126,538,1967,1013
5,1128,525,1963,1120
5,1306,756,1957,992
4,1344,0,1970,546
7,2554,704,1890,718
5,893,576,1949,845
6,1933,668,2007,894
6,1218,264,1973,672
7,1969,534,1977,808
8,2090,556,1995,1220
5,1484,487,1971,1484
5,1656,506,1973,1656
6,1224,210,1926,818
6,2054,390,2000,992
7,854,576,1929,832
4,1092,286,1973,546
5,1268,252,1977,1268
7,1661,550,1996,799
8,1668,502,2003,1657
6,1493,508,1997,1478
6,932,306,1950,932
7,1277,526,1970,1277
7,1530,630,2004,1530
5,1344,484,1958,1024
5,860,528,1982,840
7,1314,626,2007,1314
7,1962,868,2006,1391
7,1490,388,2004,788
6,848,420,2004,848
5,672,240,1940,672
7,2340,252,1941,1152
5,1656,180,1916,660
7,1479,484,1972,725
7,1226,740,2009,1226
6,2087,444,1966,832
6,1158,576,2004,1158
5,1154,480,1966,1154
7,1724,527,1998,880
6,1658,431,1995,773
4,1126,520,1949,0
5,1393,300,1955,816
8,3447,1014,1935,728
6,987,264,1973,483
5,1355,0,1940,644
7,2069,505,1960,585
7,1501,440,1999,744
8,1976,908,2006,1976
8,1563,758,2007,1563
7,1111,288,1926,572
7,1502,270,1931,776
3,1733,452,1955,0
9,2728,706,2005,1848
5,1302,264,1972,630
7,1524,586,1979,1332
4,1588,680,1959,0
5,1125,430,2006,1125
7,1200,480,2005,600
6,1640,520,2004,798
7,2127,525,1994,1223
6,972,240,1948,972
8,2020,466,1995,1128
5,1144,596,1956,1144
5,1352,288,1958,1062
5,1316,484,1929,926
8,1924,592,1998,1086
5,1164,240,1950,1164
5,952,840,1951,952
8,2358,0,1872,684
6,1680,540,1988,880
6,1912,672,1905,482
6,1004,480,1970,1004
4,1230,305,1946,747
5,1167,495,1920,915
5,1301,440,1924,1145
7,1453,445,1986,1453
8,1601,670,2001,1581
8,1588,825,2006,1588
6,1095,264,1958,588
5,1050,368,1961,1050
4,960,432,1965,960
5,1456,280,1948,810
6,1489,462,1968,1489
7,1726,786,2007,1726
7,2082,484,2003,1362
7,1339,484,1990,1309
8,2450,1069,1998,1284
7,1863,660,2006,879
5,768,396,1972,768
1,334,0,1946,0
6,1136,384,1965,1136
6,1337,405,1998,1237
5,912,288,1964,912
5,1812,264,1962,864
5,2192,240,1939,720
5,1184,0,1910,658
7,1889,308,1910,925
5,1327,624,1959,1063
6,1422,576,1981,1422
5,1632,576,1967,1632
7,1630,451,2000,1630
3,1526,0,1915,1013
4,1040,420,1949,0
6,1647,216,1915,806
4,1981,576,1928,1122
6,1644,418,1953,1416
8,2574,868,2007,1482
6,1824,520,1919,764
6,1350,520,1964,1248
6,958,440,1976,958
6,1848,370,1923,833
4,1620,490,1976,1281
6,1167,400,1992,1158
6,1487,220,1945,735
5,892,288,1967,892
5,804,240,1940,788
5,1140,0,2006,1140
6,1796,483,1963,780
6,2030,551,1976,848
10,2007,812,2008,1017
5,691,216,1920,691
8,1590,676,2008,768
6,1855,325,1954,994
7,1804,442,1999,994
7,1768,543,2003,884
10,3627,807,1995,1930
6,1298,403,1985,1298
7,1801,484,1959,1501
5,630,0,1970,630
6,1103,440,1925,1103
4,1178,384,1900,859
4,1196,440,1916,1196
7,1372,529,2007,1372
6,1431,296,1962,1099
7,1422,626,2004,1422
6,1953,501,1992,1580
4,1121,440,2003,1121
8,2473,852,2004,1143
5,1057,576,1962,1057
5,1110,602,1978,1097
8,2270,671,1999,1152
9,2018,746,2008,2002
6,1386,440,1978,672
8,1953,1043,2005,1082
8,1337,462,1993,1337
8,2285,648,2000,969
8,1718,826,2007,1705
5,1086,484,1966,1024
7,1555,660,2007,1373
7,1902,567,1959,1902
7,2514,693,1990,1216
5,1224,528,1979,1086
6,1054,460,1969,1054
8,2612,676,1998,1225
5,902,288,1967,876
7,2353,484,1980,845
6,1392,299,1977,689
5,1155,576,1961,1109
5,1904,240,1950,1208
6,1158,208,1929,862
6,1362,502,1920,611
7,2291,429,1999,975
4,1317,250,1920,649
8,1734,928,2007,1734
6,1194,312,1959,1194
5,1416,720,1915,876
5,1383,354,1954,1383
5,2002,871,1949,1001
8,1496,474,2007,1496
5,1604,660,1941,984
5,764,504,1925,680
6,1732,476,1985,741
7,1494,840,2006,1494
6,986,180,1926,960
7,1145,397,2005,1145
6,1484,0,1914,742
6,1344,525,1958,819
5,1539,686,1904,650
9,2504,656,2005,1122
4,747,528,1926,600
7,2097,583,1998,1108
10,4676,884,2007,3138
6,1176,624,1937,698
4,720,0,1920,720
8,1580,830,2007,1580
4,1440,0,1977,1440
6,1476,540,2005,738
7,1500,570,2004,1500
5,1348,216,1925,884
5,1200,884,1965,864
6,1394,514,1963,1394
6,1632,484,1966,800
5,912,336,1967,912
6,2624,864,1918,1370
5,1696,349,1962,1140
5,1230,440,1910,440
8,2727,440,1932,853
6,1456,429,2006,728
4,864,660,1970,864
6,1709,380,2004,970
8,1665,528,2001,810
7,2646,656,1993,1347
7,1640,595,2003,798
3,1699,420,1900,978
4,1663,529,1954,1364
5,1728,504,1963,1728
6,1845,462,1992,1055
6,1851,440,1964,822
8,1489,776,2006,1489
6,864,300,1959,864
5,1256,276,1965,1256
5,816,816,1982,816
7,1820,492,1965,864
7,2127,833,1991,1104
5,1065,461,1960,1065
6,1200,312,1923,1200
7,1208,632,2006,1187
8,2482,642,2005,1094
7,1720,527,1996,1720
5,840,0,1930,672
6,1294,496,1991,1278
5,1090,450,2005,1090
8,2263,420,1998,1141
5,969,440,1975,969
3,894,1248,1935,894
5,1028,360,1927,1008
6,1958,492,1946,979
8,1795,895,2006,1795
9,1940,606,2009,1930
5,1178,439,1973,1176
6,1482,400,1925,672
7,1428,554,2008,1417
5,864,338,1972,864
5,1111,200,1941,616
6,1470,420,1993,680
6,1116,440,1962,1116
6,864,288,1959,864
5,1297,498,1954,1297
5,1113,264,1950,1113
7,1501,577,1999,1490
7,1547,614,2009,756
7,1947,678,2004,991
8,1717,908,2006,1709
6,1052,440,1971,1010
7,2013,455,1996,1117
7,1266,388,2007,1266
9,2868,716,2005,1992
7,2256,554,2000,952
7,1414,494,2004,1414
6,1721,471,1994,928
6,1552,434,1975,713
4,1128,528,1920,698
6,1118,358,1977,1096
6,1728,574,1976,1728
8,2448,711,1994,1629
5,1473,452,1968,1437
7,1717,400,1990,1156
7,1166,400,2005,856
8,1370,484,2006,1370
6,1724,480,1967,1680
7,1709,380,2004,970
6,987,264,1971,483
7,1802,216,1920,793
6,2345,360,1932,952
6,1068,264,1963,1059
6,1617,533,1993,1604
6,1244,336,1957,1244
4,1180,252,1922,700
7,1223,480,2005,600
6,1686,612,1980,1686
8,1646,800,2007,1638
5,1144,264,1961,864
7,1797,639,2006,939
4,1224,462,1962,0
7,1865,839,2000,992
5,1056,308,1958,1056
9,3140,820,2008,1926
6,1212,492,1977,506
8,1694,636,2004,1686
6,1511,413,1997,802
5,1057,246,1953,1057
4,2290,560,1885,777
7,2183,786,1988,1204
7,3222,594,1990,1673
7,1716,512,1996,880
6,1342,457,1967,1372
7,1504,437,2005,1346
8,1992,648,2003,1053
7,1252,462,1999,600
5,999,264,1962,999
4,1363,528,1910,622
6,1165,490,1966,1127
9,1668,702,2002,1626
8,2376,853,2005,1158
5,1440,352,1900,540
6,1470,388,1997,794
7,1541,532,2005,1541
4,1440,0,1955,1440
7,1146,438,2003,868
8,1494,481,1995,1494
9,2224,738,2004,1462
5,1343,186,1921,731
8,2452,683,1998,1028
6,1977,540,1964,816
7,1767,504,1987,1064
8,1324,550,2006,1324
6,1458,330,1948,912
6,1314,440,2006,1314
6,1575,529,1992,1575
9,1620,912,2007,1620
4,1788,304,1957,1104
6,913,240,1966,814
6,2073,500,1978,1542
8,1441,492,1999,776
7,1690,225,1916,815
5,1437,576,1956,1188
7,2156,508,1968,1568
5,864,0,1925,864
5,1112,336,1976,536
7,2243,746,1990,700
4,1328,210,1925,686
4,968,216,1927,656
6,1396,384,1915,698
9,1856,834,2010,1856
8,2161,789,2007,1582
6,1602,529,1977,1602
5,1302,280,1971,630
6,1509,393,2002,783
5,912,352,1962,912
6,1664,420,1947,1004
6,1694,576,1925,1181
4,747,220,1945,747
4,1040,420,1950,0
7,1660,493,2002,831
5,1691,308,1924,1026
5,864,720,1950,864
6,752,264,1984,744
7,1792,564,2001,963
7,1626,474,2003,764
8,1484,472,2006,1476
7,3493,870,1880,1470
9,1652,840,2006,1652
5,1276,350,1958,1276
6,1668,271,1950,856
4,1192,0,1949,720
5,884,504,1983,840
7,2062,454,1988,1157
5,827,392,1955,0
7,2019,532,1910,728
5,1304,336,1976,264
6,1368,216,1910,684
3,1605,379,1915,840
10,2020,900,2009,2006
7,1250,528,2006,625
8,1624,757,1994,1624
4,845,360,1982,845
5,1389,418,1974,1389
5,968,480,1923,968
4,1092,286,1970,546
6,848,420,2003,848
5,1269,308,1960,1269
5,1092,288,1962,1092
7,2263,539,1977,795
4,952,283,1956,952
4,1452,0,1920,736
5,1039,504,1965,1039
6,1204,412,1998,1204
6,1117,672,1976,1029
7,2196,701,1990,2158
5,985,328,1977,985
8,1629,880,2003,3206
7,1477,216,1928,861
5,980,484,1977,980
7,2295,590,1992,1095
6,1502,180,1923,602
6,2201,432,1966,697
8,2078,836,2007,1034
2,800,0,1936,264
8,1578,840,2008,1573
8,1932,774,2008,1932
5,1507,404,1960,1075
5,900,280,1967,882
10,1718,786,2006,1700
5,1750,240,1880,636
7,2398,834,1996,1379
8,1968,680,2009,774
7,1536,532,2002,1536
3,864,200,1914,864
8,3228,546,1992,3200
7,2149,670,2003,1434
7,2640,864,1880,1240
7,1682,530,1970,1304
8,2098,878,2005,1030
5,864,360,1965,864
5,1968,530,1969,784
6,1097,480,1984,1040
6,1196,528,1920,684
5,1920,451,1958,1052
5,1728,576,1965,1728
8,2031,577,2002,1128
6,1196,297,1956,1196
5,803,360,1941,720
5,1620,462,1969,780
8,2097,1134,2005,2077
9,1869,617,2007,1869
7,1886,431,1998,930
2,480,308,1949,480
4,1296,516,1967,0
4,816,288,1938,816
7,1601,478,1978,1271
6,1792,451,2000,936
8,2520,796,1993,1338
5,1144,796,1959,1144
5,2601,621,1921,612
